City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
313,Gbarnga,6.9956,-9.4722,72.28,99,98,2.33,LR,overcast clouds
314,Coquimbo,-29.9533,-71.3436,56.93,100,0,5.75,CL,clear sky
315,Takoradi,4.8845,-1.7554,80.8,87,86,10.74,GH,light rain
316,Geraldton,-28.7667,114.6,75.61,69,100,20.71,AU,overcast clouds
317,Suixi,33.8907,116.7747,59.83,51,100,12.15,CN,overcast clouds
318,Boyolangu,-8.1181,111.8935,82.58,74,7,4.61,ID,clear sky
319,Severodvinsk,64.5635,39.8302,3.31,96,55,4.29,RU,broken clouds
320,Belmonte,-15.8631,-38.8828,76.93,83,0,7.29,BR,clear sky
321,Camocim,-2.9022,-40.8411,76.3,92,96,7.96,BR,overcast clouds
322,Hambantota,6.1241,81.1185,75.54,100,20,0.0,LK,few clouds
323,Tucuman,-26.8241,-65.2226,60.8,82,0,6.91,AR,clear sky
324,Tautira,-17.7333,-149.15,82.63,74,21,13.15,PF,few clouds
325,Bhiwani,28.7833,76.1333,77.07,7,0,5.91,IN,clear sky
326,Bonavista,48.6499,-53.1147,34.05,83,64,19.8,CA,broken clouds
327,Sept-Iles,50.2001,-66.3821,35.6,50,20,8.05,CA,few clouds
328,Susanville,40.4163,-120.653,51.46,29,87,10.13,US,overcast clouds
329,Korgen,66.0771,13.8153,23.32,94,98,5.26,NO,overcast clouds
330,Hegang,47.4,130.3667,54.91,36,95,14.38,CN,overcast clouds
331,Riyadh,24.6877,46.7219,77.14,13,63,4.14,SA,broken clouds
332,Calawag,10.6697,119.5707,84.72,67,22,15.28,PH,few clouds
333,Santa Paula,34.3542,-119.0593,63.37,81,100,11.5,US,overcast clouds
334,Mountain Home,43.133,-115.6912,62.08,94,0,4.61,US,clear sky
335,Moultonborough,43.7548,-71.3967,41.59,72,100,1.99,US,overcast clouds
336,Xichang,27.8964,102.2634,53.29,92,100,3.13,CN,overcast clouds
337,Portland,45.5234,-122.6762,55.44,76,100,10.0,US,overcast clouds
338,Izazi,-7.2,35.7333,67.32,81,28,1.32,TZ,scattered clouds
339,Bani,18.2833,-70.3333,78.85,85,59,5.32,DO,broken clouds
